species_name,species_name_fishbase,genus_name,genus_name_fishbase,origin,invasive,IUCN_Global,IUCN_Med,Year_Global,Year_Med,Length_cm,Length_max,Depth_min_m,Depth_max_m,Continental_shelf,Continental_slope,Open_ocean,Habitat._soft,Habitat_rocky,Habitat_posidonia,Migration,Reproduction,Sex_shift,Semelparity,Larvae,Behav,Diet_type,BodyShapeI,Fresh,Brack,Saltwater,DemersPelag,AirBreathing,AnaCat,Vulnerability
Dicentrarchus punctatus,Dicentrarchus punctatus,Dicentrarchus,Dicentrarchus,U,0,LC,LC,2015,2011,52.5,70,1,10,0,0,0,1,1,1,Amphidromous,Oviparous,no,no,NA,NA,Carnivorous,fusiform / normal,0,1,1,pelagic-neritic,WaterAssumed, ,35.94
Dicologlossa cuneata,Dicologlossa cuneata,Dicologlossa,Dicologlossa,U,0,LC,DD,2022,2011,27.5,30,10,100,1,0,0,1,0,0,NA,Oviparous,no,no,Planktotrophic,NA,Carnivorous,short and / or deep,0,1,1,demersal,WaterAssumed,NA,31.32
Didogobius bentuvii,Didogobius bentuvii,Didogobius,Didogobius,E,0,DD,DD,2025,2025,3.7,NA,1,37,NA,NA,NA,1,0,0,no,Oviparous,no,no,Planktotrophic,Solitary,Omnivorous,elongated,0,0,1,demersal,WaterAssumed,NA,10
Didogobius schlieweni,Didogobius schlieweni,Didogobius,Didogobius,E,0,LC,LC,2025,2025,4.5,5,8,12,0,0,0,0,1,0,no,Oviparous,no,no,Planktotrophic,Solitary,Omnivorous,elongated,0,0,1,demersal,WaterAssumed,NA,10
Didogobius splechtnai,Marcelogobius splechtnai,Didogobius,Marcelogobius,E,0,LC,LC,2025,2025,3.25,3.5,4,18,0,0,0,0,1,0,no,Oviparous,no,no,Planktotrophic,Solitary,Omnivorous,elongated,0,0,1,demersal,WaterAssumed,NA,10
Diodon hystrix,Diodon hystrix,Diodon,Diodon,A,1,LC,NA,2015,NA,50,100,5,25,0,0,0,0,1,0,no,Oviparous,no,no,Planktotrophic,Solitary,Carnivorous,short and / or deep,0,0,1,reef-associated,WaterAssumed,NA,56.4
Diogenichthys atlanticus,Diogenichthys atlanticus,Diogenichthys,Diogenichthys,U,0,LC,DD,2015,2011,1.5,3,1,1050,0,0,1,0,0,0,Oceanodromous,Oviparous,no,no,Planktotrophic,NA,Carnivorous,elongated,0,0,1,bathypelagic,WaterAssumed,oceanodromous,10
Diplecogaster bimaculata,Diplecogaster bimaculata,Diplecogaster,Diplecogaster,U,0,LC,LC,2015,2011,4.25,6,10,50,1,0,0,1,0,1,no,Oviparous,no,no,Planktotrophic,Solitary,Carnivorous,elongated,0,0,1,benthopelagic,WaterAssumed,NA,10
Diplodus annularis,Diplodus annularis,Diplodus,Diplodus,U,0,LC,LC,2014,2011,16.5,25,1,20,0,0,0,1,0,1,Oceanodromous,Oviparous,Protandrous,no,Planktotrophic,Solitary,Carnivorous,fusiform / normal,0,1,1,benthopelagic,WaterAssumed,NA,35.68
Diplodus bellottii,Diplodus bellottii,Diplodus,Diplodus,A,1,LC,NA,2014,NA,15,20,10,50,1,0,0,1,1,1,no,Oviparous,no,no,Planktotrophic,Gregarious,Carnivorous,fusiform / normal,0,0,1,benthopelagic,WaterAssumed,NA,35.74
Diplodus cervinus,Diplodus cervinus,Diplodus,Diplodus,U,0,LC,DD,2014,2011,42.5,55,10,50,0,0,0,0,1,0,Oceanodromous,Oviparous,Protandrous,no,Planktotrophic,Mix,Omnivorous,fusiform / normal,0,0,1,reef-associated,WaterAssumed,oceanodromous,54.55
Diplodus puntazzo,Diplodus puntazzo,Diplodus,Diplodus,U,0,LC,LC,2014,2011,35,60,10,50,0,0,0,0,1,0,Oceanodromous,Oviparous,Protandrous,no,Planktotrophic,Gregarious,Omnivorous,fusiform / normal,0,1,1,benthopelagic,WaterAssumed,oceanodromous,40.17
Diplodus sargus,Diplodus sargus,Diplodus,Diplodus,E,0,LC,NA,2014,NA,25,45,1,40,0,0,0,0,1,0,Oceanodromous,Oviparous,Protandrous,no,Planktotrophic,Gregarious,Carnivorous,fusiform / normal,0,1,1,demersal,WaterAssumed,oceanodromous,56.85
Diplodus vulgaris,Diplodus vulgaris,Diplodus,Diplodus,U,0,LC,LC,2014,2011,25,45,2,50,1,0,0,1,1,1,Oceanodromous,Oviparous,Protandrous,no,Planktotrophic,Gregarious,Carnivorous,fusiform / normal,0,0,1,benthopelagic,WaterAssumed,oceanodromous,32.91
Diplogrammus randalli,Diplogrammus randalli,Diplogrammus,Diplogrammus,RS,1,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,elongated,0,0,1,demersal,WaterAssumed,NA,10
Dipterygonotus balteatus,Dipterygonotus balteatus,Dipterygonotus,Dipterygonotus,RS,1,LC,NA,2016,NA,NA,14,37,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fusiform / normal,0,0,1,reef-associated,WaterAssumed,NA,10
Dussumieria acuta,Dussumieria acuta,Dussumieria,Dussumieria,U,0,LC,NA,2021,NA,15,20,1,20,1,0,0,0,0,0,no,NA,no,no,Planktotrophic,NA,Carnivorous,fusiform / normal,1,1,1,pelagic-neritic,WaterAssumed,NA,20.07
Dussumieria elapsoides,Dussumieria elopsoides,Dussumieria,Dussumieria,RS,1,LC,NA,2017,NA,10,15,1,50,0,0,1,0,0,0,no,Oviparous,no,no,Planktotrophic,Gregarious,Omnivorous,fusiform / normal,0,0,1,pelagic-neritic,WaterAssumed,NA,24.38
Dysomma brevirostre,Dysomma brevirostre,Dysomma,Dysomma,U,0,LC,DD,2015,2011,NA,30,350,650,0,1,0,NA,NA,NA,NA,Oviparous,no,no,Planktotrophic,NA,Carnivorous,eel-like,0,0,1,benthopelagic,WaterAssumed,NA,20
Echelus myrus,Echelus myrus,Echelus,Echelus,U,0,LC,LC,2015,2011,90,100,30,190,1,1,0,1,0,0,NA,Oviparous,no,no,Planktotrophic,NA,Carnivorous,eel-like,0,1,1,demersal,WaterAssumed,NA,60
Echeneis naucrates,Echeneis naucrates,Echeneis,Echeneis,U,0,LC,NA,2015,NA,95,110,1,15,0,0,0,0,0,0,Oceanodromous,Oviparous,no,no,Planktotrophic,Gregarious,Carnivorous,elongated,0,1,1,reef-associated,WaterAssumed,NA,66
Echiichthys vipera,Echiichthys vipera,Echiichthys,Echiichthys,U,0,NA,LC,NA,2011,11,16,1,10,0,0,0,1,0,0,NA,Oviparous,no,no,Planktotrophic,NA,Carnivorous,elongated,0,0,1,demersal,WaterAssumed,NA,17.7
Echinorhinus brucus,Echinorhinus brucus,Echinorhinus,Echinorhinus,U,0,EN,EN,2020,2016,200,310,10,900,1,1,1,1,1,0,no,Ovoviviparous,no,no,no,Solitary,Carnivorous,elongated,0,0,1,bathydemersal,WaterAssumed,NA,90
Echiodon dentatus,Echiodon dentatus,Echiodon,Echiodon,U,0,LC,LC,2011,2011,15,17,80,500,1,1,0,1,0,0,no,Oviparous,no,no,Planktotrophic,NA,Carnivorous,eel-like,0,0,1,demersal,WaterAssumed,NA,10
Elagatis bipinnulata,Elagatis bipinnulata,Elagatis,Elagatis,U,0,LC,NA,2015,NA,80,120,10,30,0,0,1,0,0,0,no,Oviparous,no,no,Planktotrophic,Gregarious,Carnivorous,fusiform / normal,0,0,1,reef-associated,WaterAssumed,NA,50.69
Elates ransonnettii,Elates ransonnettii,Elates,Elates,RS,1,NA,NA,NA,NA,15,19,1,50,1,0,0,1,1,0,no,NA,no,no,NA,NA,Carnivorous,elongated,0,0,1,demersal,WaterAssumed,NA,10
Electrona risso,Electrona risso,Electrona,Electrona,U,0,LC,LC,2015,2011,6,8,90,800,0,0,1,0,0,0,Oceanodromous,Oviparous,no,no,Planktotrophic,NA,Carnivorous,elongated,0,0,1,bathypelagic,WaterAssumed,oceanodromous,10
Enchelycore anatina,Enchelycore anatina,Enchelycore,Enchelycore,A,1,LC,NA,2015,NA,80,110,1,30,1,0,0,0,1,0,no,Oviparous,no,no,Planktotrophic,Solitary,Carnivorous,eel-like,0,0,1,reef-associated,WaterAssumed,NA,72
Encrasicholina gloria,Encrasicholina gloria,Encrasicholina,Encrasicholina,RS,1,DD,NA,2017,NA,NA,7.199999809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,elongated,0,0,1,pelagic-neritic,WaterAssumed,NA,10
Engraulis encrasicolus,Engraulis encrasicolus,Engraulis,Engraulis,E,0,LC,LC,2015,2011,14,20,1,400,0,0,0,1,0,0,Oceanodromous,Oviparous,no,no,Planktotrophic,Gregarious,Carnivorous,elongated,0,1,1,pelagic-neritic,WaterAssumed,oceanodromous,28.59
Entelurus aequoraeus,Entelurus aequoreus,Entelurus,Entelurus,A,0,LC,NA,2026,NA,35,60,1,20,1,0,0,0,0,1,Oceanodromous,Ovoviviparous,no,no,Planktotrophic,Solitary,Carnivorous,eel-like,0,1,1,demersal,WaterAssumed,NA,44
Ephippion guttiferum,Ephippion guttifer,Ephippion,Ephippion,A,0,LC,DD,2014,2011,40,80,5,100,0,0,1,1,0,0,Oceanodromous,Oviparous,no,no,Planktotrophic,Mix,Carnivorous,fusiform / normal,0,1,1,demersal,WaterAssumed,NA,52
Epigonus constanciae,Epigonus constanciae,Epigonus,Epigonus,U,0,LC,DD,2015,2011,16,20,160,700,0,1,0,1,1,0,no,Oviparous,no,no,Planktotrophic,Gregarious,Carnivorous,fusiform / normal,0,0,1,bathydemersal,WaterAssumed,NA,14.03
Epigonus denticulatus,Epigonus denticulatus,Epigonus,Epigonus,U,0,LC,LC,2015,2011,19,20,130,830,0,1,1,1,0,0,no,Oviparous,no,no,Planktotrophic,Gregarious,Carnivorous,fusiform / normal,0,0,1,bathydemersal,WaterAssumed,NA,10
Epigonus telescopus,Epigonus telescopus,Epigonus,Epigonus,U,0,LC,LC,2015,2011,50,60,75,1200,0,1,1,0,0,0,no,Oviparous,no,no,Planktotrophic,Gregarious,Carnivorous,fusiform / normal,0,0,1,bathydemersal,WaterAssumed,NA,69.34
Epinephelus aeneus,Epinephelus aeneus,Epinephelus,Epinephelus,U,0,NT,NT,2018,2011,90,130,20,100,0,0,0,1,0,1,Oceanodromous,Oviparous,Protogynous,no,Planktotrophic,Solitary,Carnivorous,fusiform / normal,0,1,1,demersal,WaterAssumed,oceanodromous,58.02
Epinephelus alexandrinus,Epinephelus fasciatus,Epinephelus,Epinephelus,R,1,LC,NA,2018,NA,85,140,10,100,1,0,0,1,1,0,NA,Oviparous,Protogynous,no,Planktotrophic,Gregarious,Carnivorous,fusiform / normal,0,1,1,reef-associated,WaterAssumed,NA,54.05
Epinephelus areolatus,Epinephelus areolatus,Epinephelus,Epinephelus,RS,1,LC,NA,2018,NA,35,53,6,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,short and / or deep,0,0,1,reef-associated,WaterAssumed,NA,60.54
Epinephelus caninus,Epinephelus caninus,Epinephelus,Epinephelus,U,0,NA,NA,NA,NA,110,160,30,100,1,1,0,0,1,0,NA,Oviparous,Protogynous,no,Planktotrophic,Gregarious,Carnivorous,fusiform / normal,0,0,1,demersal,WaterAssumed,NA,87.06
Epinephelus coioides,Epinephelus coioides,Epinephelus,Epinephelus,RS,1,LC,NA,2018,NA,70,100,1,100,0,0,0,1,0,0,no,Oviparous,Protogynous,no,Planktotrophic,Solitary,Carnivorous,fusiform / normal,0,1,1,reef-associated,WaterAssumed,NA,57.51
Epinephelus geoffroyi,Epinephelus geoffroyi,Epinephelus,Epinephelus,RS,1,LC,NA,2018,NA,NA,40.79999924,3,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fusiform / normal,0,0,1,reef-associated,WaterAssumed,NA,39.78
Epinephelus haifensis,Hyporthodus haifensis,Epinephelus,Hyporthodus,U,0,LC,DD,2018,2011,75,110,80,150,1,1,0,0,1,0,Oceanodromous,Oviparous,Protogynous,no,Planktotrophic,NA,Carnivorous,fusiform / normal,0,0,1,demersal,WaterAssumed,NA,75
Epinephelus malabaricus,Epinephelus malabaricus,Epinephelus,Epinephelus,RS,1,LC,NA,2018,NA,80,115,2,80,0,0,0,1,1,0,Amphidromous,Oviparous,Protogynous,no,Planktotrophic,Solitary,Carnivorous,fusiform / normal,0,1,1,reef-associated,WaterAssumed,amphidromous,40.44
Epinephelus marginatus,Epinephelus marginatus,Epinephelus,Epinephelus,U,0,NA,NA,NA,NA,90,150,10,50,0,0,0,0,1,0,no,Oviparous,Protogynous,no,Planktotrophic,Gregarious,Carnivorous,fusiform / normal,0,0,1,reef-associated,WaterAssumed,NA,63.59
Epinephelus merra,Epinephelus merra,Epinephelus,Epinephelus,RS,1,LC,NA,2018,NA,NA,36.5,0,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fusiform / normal,0,0,1,reef-associated,WaterAssumed,NA,23.66
Epinephelus striatus,Epinephelus striatus,Epinephelus,Epinephelus,A,1,CR,NA,2018,NA,NA,122,1,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fusiform / normal,0,0,1,reef-associated,WaterAssumed,oceanodromous,63.42
Equulites leuciscus,Equulites leuciscus,Equulites,Equulites,RS,1,LC,NA,2017,NA,10,25,5,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fusiform / normal,0,0,1,demersal,WaterAssumed,NA,12.51
Equulites popei,Equulites popei,Equulites,Equulites,RS,1,LC,NA,2024,NA,8,12,20,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fusiform / normal,0,0,1,demersal,WaterAssumed,NA,13.8
Eretmophorus kleinenbergi,Eretmophorus kleinenbergi,Eretmophorus,Eretmophorus,U,0,LC,LC,2014,2014,NA,9,30,500,1,1,0,1,0,0,no,NA,no,no,NA,NA,Carnivorous,elongated,0,0,1,benthopelagic,WaterAssumed,NA,10
Etmopterus spinax,Etmopterus spinax,Etmopterus,Etmopterus,U,0,VU,LC,2021,2016,40,60,70,2000,1,1,0,0,0,0,no,Ovoviviparous,no,no,no,Solitary,Carnivorous,elongated,0,0,1,bathydemersal,WaterAssumed,NA,62.56
Etrumeus golanii,Etrumeus golanii,Etrumeus,Etrumeus,RS,1,DD,NA,2018,NA,NA,22,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,elongated,0,0,1,pelagic-neritic,WaterAssumed,NA,12
Etrumeus teres,Etrumeus sadina,Etrumeus,Etrumeus,RS,0,LC,NA,2015,NA,15,25,1,20,1,0,1,0,0,0,Oceanodromous,Oviparous,no,no,Planktotrophic,Gregarious,Carnivorous,elongated,0,0,1,pelagic-neritic,WaterAssumed,oceanodromous,15.77
Euthynnus alletteratus,Euthynnus alletteratus,Euthynnus,Euthynnus,U,0,LC,LC,2023,2011,80,100,1,40,1,0,0,0,0,0,Oceanodromous,Oviparous,no,no,Planktotrophic,Gregarious,Carnivorous,fusiform / normal,0,1,1,pelagic-oceanic,WaterAssumed,oceanodromous,40.63
Eutrigla gurnardus,Eutrigla gurnardus,Eutrigla,Eutrigla,E,0,NA,LC,NA,2011,40,60,20,150,1,1,0,1,1,0,Oceanodromous,Oviparous,no,no,Planktotrophic,NA,Carnivorous,elongated,0,1,1,demersal,WaterAssumed,NA,55.31
Evermannella balbo,Evermannella balbo,Evermannella,Evermannella,U,0,LC,LC,2015,2011,6,17,100,1000,0,0,1,0,0,0,Oceanodromous,Oviparous,no,no,Planktotrophic,Solitary,Piscivorous,elongated,0,0,1,bathypelagic,WaterAssumed,oceanodromous,10.56
Exocoetus obtusirostris,Exocoetus obtusirostris,Exocoetus,Exocoetus,U,0,LC,DD,2015,2011,18,24,1,5,1,1,0,0,0,0,Oceanodromous,NA,no,no,NA,Gregarious,Carnivorous,fusiform / normal,0,0,1,pelagic-neritic,WaterAssumed,oceanodromous,14
Exocoetus volitans,Exocoetus volitans,Exocoetus,Exocoetus,U,0,LC,DD,2015,2011,22,30,0,5,0,0,1,0,0,0,Oceanodromous,Oviparous,no,no,Planktotrophic,Gregarious,Carnivorous,elongated,0,0,1,pelagic-neritic,WaterAssumed,oceanodromous,20
Favonigobius melanobranchus,Favonigobius melanobranchus,Favonigobius,Favonigobius,RS,1,LC,NA,2024,NA,NA,8.300000191,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fusiform / normal,0,1,1,demersal,FacultativeGenus,NA,10
Fistularia commersonii,Fistularia commersonii,Fistularia,Fistularia,RS,1,LC,NA,2016,NA,100,160,1,132,0,0,0,1,1,0,no,NA,no,no,NA,Mix,Carnivorous,elongated,0,0,1,reef-associated,WaterAssumed,NA,42.15
Fistularia petimba,Fistularia petimba,Fistularia,Fistularia,A,1,LC,NA,2025,NA,180,200,18,57,0,0,0,1,1,1,Oceanodromous,Oviparous,no,no,Planktotrophic,Mix,Carnivorous,elongated,0,1,1,reef-associated,WaterAssumed,NA,90
Gadella maraldi,Gadella maraldi,Gadella,Gadella,U,0,LC,LC,2015,2011,15,30,250,500,0,1,0,1,1,0,NA,Oviparous,no,no,Planktotrophic,NA,Carnivorous,elongated,0,0,1,benthopelagic,WaterAssumed,NA,20
Gadiculus argenteus,Gadiculus argenteus,Gadiculus,Gadiculus,U,0,NA,LC,NA,2011,10,15,100,1000,1,1,0,1,1,0,no,NA,no,no,NA,NA,Carnivorous,fusiform / normal,0,0,1,pelagic-oceanic,WaterAssumed,non-migratory,25.07
Gadus morhua,Gadus morhua,Gadus,Gadus,A,1,VU,NA,1996,NA,100,200,0,600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fusiform / normal,0,1,1,benthopelagic,WaterAssumed,oceanodromous,65.4
Gaidropsarus mediterraneus,Gaidropsarus mediterraneus,Gaidropsarus,Gaidropsarus,U,0,NA,LC,NA,2011,27.5,45,1,25,0,0,0,0,1,0,Oceanodromous,Oviparous,no,no,Planktotrophic,Solitary,Carnivorous,elongated,0,1,1,demersal,WaterAssumed,oceanodromous,21.39
Gaidropsarus vulgaris,Gaidropsarus vulgaris,Gaidropsarus,Gaidropsarus,U,0,LC,LC,2014,2011,37.5,60,30,80,1,0,0,1,0,0,Oceanodromous,Oviparous,no,no,Planktotrophic,NA,Carnivorous,elongated,0,0,1,demersal,WaterAssumed,non-migratory,44
Galeocerdo cuvieri,Galeocerdo cuvier,Galeocerdo,Galeocerdo,A,1,NT,NA,2019,NA,400,550,1,300,0,0,1,0,0,0,Oceanodromous,Ovoviviparous,no,no,no,Solitary,Omnivorous,fusiform / normal,0,1,1,benthopelagic,WaterAssumed,oceanodromous,63.83
Galeoides decadactylus,Galeoides decadactylus,Galeoides,Galeoides,A,0,NT,NA,2015,NA,30,45,1,50,0,0,0,1,0,0,no,Oviparous,no,no,Planktotrophic,Solitary,Carnivorous,fusiform / normal,0,1,1,demersal,WaterAssumed, ,29.94
Galeorhinus galeus,Galeorhinus galeus,Galeorhinus,Galeorhinus,U,0,CR,VU,2020,2016,135,200,10,470,1,0,1,1,0,0,no,Ovoviviparous,no,no,no,Gregarious,Carnivorous,elongated,0,0,1,benthopelagic,WaterAssumed,oceanodromous,75.77
Galeus melastomus,Galeus melastomus,Galeus,Galeus,U,0,LC,LC,2021,2016,50,90,200,600,1,1,0,1,0,0,no,Oviparous,no,no,no,Solitary,Carnivorous,elongated,0,0,1,demersal,WaterAssumed,NA,35.05
Gammogobius steinitzi,Gammogobius steinitzi,Gammogobius,Gammogobius,E,0,LC,NA,2025,NA,3.75,4.3,5,20,0,0,0,0,1,0,no,Oviparous,no,no,Planktotrophic,Solitary,Carnivorous,elongated,0,0,1,demersal,WaterAssumed,NA,10
Gephyroberyx drawini,Gephyroberyx darwinii,Gephyroberyx,Gephyroberyx,A,0,LC,NA,2015,NA,48,60,70,500,0,1,0,0,1,0,no,Oviparous,no,no,Planktotrophic,NA,Carnivorous,short and / or deep,0,0,1,benthopelagic,WaterAssumed,NA,44
Glaucostegus halavi,Glaucostegus halavi,Glaucostegus,Glaucostegus,RS,1,CR,NA,2019,NA,90,170,1,40,0,0,0,1,0,0,no,Viviparous,no,no,no,Solitary,Carnivorous,other,0,0,1,benthopelagic,WaterAssumed,NA,90
Glossanodon leioglossus,Glossanodon leioglossus,Glossanodon,Glossanodon,U,0,LC,LC,2015,2011,8,16,180,600,0,1,0,NA,NA,NA,NA,Oviparous,no,no,NA,Gregarious,Carnivorous,elongated,0,0,1,bathydemersal,WaterAssumed,NA,10
Gnathophis mystax,Gnathophis mystax,Gnathophis,Gnathophis,U,0,LC,LC,2019,2011,50,60,50,800,0,1,0,1,0,0,Oceanodromous,Oviparous,no,no,Planktotrophic,Solitary,Carnivorous,eel-like,0,0,1,demersal,WaterAssumed,NA,44
Gobius ater,Gobius ater,Gobius,Gobius,E,0,LC,LC,2025,2025,4.5,7,1,10,0,0,0,0,1,1,no,Oviparous,no,no,Planktotrophic,Solitary,Carnivorous,elongated,0,0,1,demersal,WaterAssumed,NA,10
Gobius bucchichi,Gobius bucchichi,Gobius,Gobius,U,0,LC,NA,2025,NA,8.5,10,0.5,3,0,0,0,1,1,0,no,Oviparous,no,no,Planktotrophic,Solitary,Omnivorous,elongated,0,0,1,demersal,WaterAssumed,NA,10
Gobius cobitis,Gobius cobitis,Gobius,Gobius,U,0,LC,LC,2025,2011,22.5,30,1,6,0,0,0,0,1,0,no,Oviparous,no,no,Planktotrophic,Solitary,Omnivorous,elongated,0,1,1,demersal,WaterAssumed,oceanodromous,10
Gobius couchi,Gobius couchi,Gobius,Gobius,A,0,LC,DD,2025,2011,8,9,1,10,0,0,0,1,1,0,no,Oviparous,no,no,Planktotrophic,Gregarious,Omnivorous,fusiform / normal,0,1,1,demersal,WaterAssumed,NA,10
Gobius cruentatus,Gobius cruentatus,Gobius,Gobius,U,0,LC,LC,2015,2011,14,18,10,30,0,0,0,0,1,0,no,Oviparous,no,no,Planktotrophic,Solitary,Carnivorous,elongated,0,0,1,demersal,WaterAssumed,oceanodromous,10
Gobius fallax,Gobius fallax,Gobius,Gobius,E,0,LC,LC,2025,2025,8,9,1,20,0,0,0,0,1,0,no,Oviparous,no,no,Planktotrophic,Solitary,Omnivorous,elongated,0,0,1,demersal,WaterAssumed,NA,10
Gobius geniporus,Gobius geniporus,Gobius,Gobius,E,0,LC,LC,2025,2025,13,16,5,20,0,0,0,1,0,1,no,Oviparous,no,no,Planktotrophic,Solitary,Omnivorous,elongated,0,0,1,demersal,WaterAssumed,NA,10
Gobius luteus,Gobius auratus,Gobius,Gobius,U,0,LC,LC,2025,2025,6.5,10,10,30,0,0,0,1,1,0,no,Oviparous,no,no,Planktotrophic,Solitary,Carnivorous,fusiform / normal,0,0,1,demersal,WaterAssumed,NA,10
Gobius niger,Gobius niger,Gobius,Gobius,U,0,LC,LC,2015,2011,12.5,15,1,10,0,0,0,1,1,1,no,Oviparous,no,no,Planktotrophic,Solitary,Omnivorous,elongated,0,1,1,demersal,WaterAssumed,NA,33.68
Gobius paganellus,Gobius paganellus,Gobius,Gobius,U,0,LC,LC,2015,2011,9,15,1,3,0,0,0,0,1,1,Amphidromous,Oviparous,no,no,Planktotrophic,Solitary,Carnivorous,elongated,1,1,1,demersal,WaterAssumed,amphidromous,19.37
Gobius roulei,Gobius roulei,Gobius,Gobius,U,0,LC,DD,2025,2011,6,8,3,20,0,0,0,1,0,1,no,Oviparous,no,no,Leicitotrophic,Solitary,Carnivorous,elongated,0,0,1,bathydemersal,WaterAssumed,NA,10
Gobius strictus,Gobius strictus,Gobius,Gobius,E,0,DD,DD,2011,2011,NA,6.5,25,40,0,0,0,0,1,0,no,Oviparous,no,no,Planktotrophic,Solitary,Omnivorous,Elongated,0,0,1,demersal,WaterAssumed,NA,10
Gobius vittatus,Gobius vittatus,Gobius,Gobius,E,0,LC,LC,2025,2025,4.5,6,20,40,0,0,0,0,1,0,no,Oviparous,no,no,Planktotrophic,Solitary,Omnivorous,elongated,0,0,1,demersal,WaterAssumed,NA,10
Gobius xanthocephalus,Gobius xanthocephalus,Gobius,Gobius,E,0,LC,DD,2025,2011,NA,10,2,20,0,0,0,0,1,0,no,Oviparous,no,no,Planktotrophic,Solitary,Omnivorous,fusiform / normal,0,0,1,demersal,WaterAssumed,NA,10
Gonichthys coccoi,Gonichthys cocco,Gonichthys,Gonichthys,U,0,LC,NA,2015,NA,4,6,1,1000,1,1,0,0,0,0,Oceanodromous,Oviparous,no,no,Planktotrophic,NA,Carnivorous,elongated,0,0,1,bathypelagic,WaterAssumed,oceanodromous,10
Gonostoma denudatum,Gonostoma denudatum,Gonostoma,Gonostoma,U,0,LC,DD,2015,2011,10,14,100,700,0,0,1,0,0,0,no,Oviparous,no,no,Planktotrophic,Solitary,Carnivorous,elongated,0,0,1,bathypelagic,WaterAssumed,NA,10
Gouania willdenowi,Gouania willdenowi,Gouania,Gouania,E,0,LC,LC,2025,2025,5.5,6,0.5,1,0,0,0,0,1,0,no,Oviparous,no,no,Planktotrophic,Solitary,Carnivorous,elongated,0,0,1,demersal,WaterAssumed,NA,10
Gymnammodytes cicerelus,Gymnammodytes cicerelus,Gymnammodytes,Gymnammodytes,E,0,LC,LC,2015,2011,15,18,1,30,0,0,0,1,0,0,NA,Oviparous,no,no,Planktotrophic,Gregarious,Carnivorous,eel-like,0,0,1,demersal,WaterAssumed,NA,10
Gymnammodytes semisquamatus,Gymnammodytes semisquamatus,Gymnammodytes,Gymnammodytes,A,1,LC,NA,2014,NA,20,30,10,30,0,0,0,1,0,0,Oceanodromous,Oviparous,no,no,Planktotrophic,Gregarious,Omnivorous,elongated,0,0,1,demersal,WaterAssumed,NA,26.6
Gymnothorax reticularis,Gymnothorax reticularis,Gymnothorax,Gymnothorax,RS,1,LC,NA,2022,NA,NA,60,NA,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,eel-like,0,0,1,demersal,WaterAssumed,NA,44
Gymnothorax unicolor,Gymnothorax unicolor,Gymnothorax,Gymnothorax,U,0,LC,DD,2015,2011,85,110,1,80,1,0,0,0,1,0,NA,Oviparous,no,no,Planktotrophic,Solitary,Carnivorous,eel-like,0,0,1,demersal,WaterAssumed,NA,60
Gymnura altavela,Gymnura altavela,Gymnura,Gymnura,U,0,EN,CR,2021,2016,350,400,2,60,0,0,0,1,0,0,NA,Ovoviviparous,no,no,no,NA,Carnivorous,other,0,1,1,demersal,WaterAssumed,NA,43.22
Halobatrachus didactylus,Halobatrachus didactylus,Halobatrachus,Halobatrachus,U,0,LC,DD,2015,2011,37.5,50,5,30,0,0,0,1,1,0,no,Oviparous,no,no,NA,Solitary,Carnivorous,fusiform / normal,0,0,1,demersal,WaterAssumed,NA,40
Halosaurus ovenii,Halosaurus ovenii,Halosaurus,Halosaurus,A,0,LC,NA,2015,NA,45,50,400,800,0,1,0,1,0,0,no,Oviparous,yes,no,Planktotrophic,Gregarious,Carnivorous,eel-like,0,0,1,bathydemersal,WaterAssumed,NA,44
Hazeus ingressus,Hazeus ingressus,Hazeus,Hazeus,RS,1,LC,NA,2025,NA,NA,2.5,5,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,elongated,0,0,1,benthopelagic,NA,NA,10
Helicolenus dactylopterus,Helicolenus dactylopterus,Helicolenus,Helicolenus,U,0,LC,LC,2015,2011,30,46,100,300,1,1,0,1,1,0,no,Oviparous,no,no,Planktotrophic,NA,Carnivorous,fusiform / normal,0,0,1,bathydemersal,WaterAssumed,NA,68.14
